split,model,layer,duration,duration_val,test_split,metric,score
dev,HuBERT MMS-ulab,10,10h,600,dev,per,104.38
dev,HuBERT MMS-ulab,10,10h,600,dev,pnmi,56.96
dev,HuBERT MMS-ulab,10,10h,600,dev,r_val,20.33
dev,HuBERT MMS-ulab,11,10h,600,dev,f1,58.7
dev,HuBERT MMS-ulab,11,10h,600,dev,per,112.83
dev,HuBERT MMS-ulab,11,10h,600,dev,pnmi,55.12
dev,HuBERT MMS-ulab,11,10h,600,dev,r_val,14.62
dev,HuBERT MMS-ulab,12,10h,600,dev,f1,58.3
dev,HuBERT MMS-ulab,12,10h,600,dev,per,112.25
dev,HuBERT MMS-ulab,12,10h,600,dev,pnmi,52.38
dev,HuBERT MMS-ulab,12,10h,600,dev,r_val,17.41
dev,HuBERT MMS-ulab,1,10min,10,dev,f1,54.05
dev,HuBERT MMS-ulab,1,10min,10,dev,per,153.45
dev,HuBERT MMS-ulab,1,10min,10,dev,pnmi,42.36
dev,HuBERT MMS-ulab,1,10min,10,dev,r_val,-4.04
dev,HuBERT MMS-ulab,2,10min,10,dev,f1,54.06
dev,HuBERT MMS-ulab,2,10min,10,dev,per,155.91
dev,HuBERT MMS-ulab,2,10min,10,dev,pnmi,43.28
dev,HuBERT MMS-ulab,2,10min,10,dev,r_val,-7.66
dev,HuBERT MMS-ulab,3,10min,10,dev,f1,55.8
dev,HuBERT MMS-ulab,3,10min,10,dev,per,143.51
dev,HuBERT MMS-ulab,3,10min,10,dev,pnmi,47.01
dev,HuBERT MMS-ulab,3,10min,10,dev,r_val,-0.66
dev,HuBERT MMS-ulab,4,10min,10,dev,f1,57.36
dev,HuBERT MMS-ulab,4,10min,10,dev,per,131.48
dev,HuBERT MMS-ulab,4,10min,10,dev,pnmi,47.71
dev,HuBERT MMS-ulab,4,10min,10,dev,r_val,8.5
dev,HuBERT MMS-ulab,5,10min,10,dev,f1,57.88
dev,HuBERT MMS-ulab,5,10min,10,dev,per,125.26
dev,HuBERT MMS-ulab,5,10min,10,dev,pnmi,49.02
dev,HuBERT MMS-ulab,5,10min,10,dev,r_val,12.31
dev,HuBERT MMS-ulab,6,10min,10,dev,f1,59.76
dev,HuBERT MMS-ulab,6,10min,10,dev,per,110.51
dev,HuBERT MMS-ulab,6,10min,10,dev,pnmi,51.79
dev,HuBERT MMS-ulab,6,10min,10,dev,r_val,22.33
dev,HuBERT MMS-ulab,7,10min,10,dev,f1,59.49
dev,HuBERT MMS-ulab,7,10min,10,dev,per,103.3
dev,HuBERT MMS-ulab,7,10min,10,dev,pnmi,52.1
dev,HuBERT MMS-ulab,7,10min,10,dev,r_val,27.16
dev,HuBERT MMS-ulab,8,10min,10,dev,f1,59.22
dev,HuBERT MMS-ulab,8,10min,10,dev,per,98.35
dev,HuBERT MMS-ulab,8,10min,10,dev,pnmi,51.28
dev,HuBERT MMS-ulab,8,10min,10,dev,r_val,30.79
dev,HuBERT MMS-ulab,9,10min,10,dev,f1,57.45
dev,HuBERT MMS-ulab,9,10min,10,dev,per,112.76
dev,HuBERT MMS-ulab,9,10min,10,dev,pnmi,49.54
dev,HuBERT MMS-ulab,9,10min,10,dev,r_val,19.24
dev,HuBERT MMS-ulab,10,10min,10,dev,f1,58.69
dev,HuBERT MMS-ulab,10,10min,10,dev,per,115.47
dev,HuBERT MMS-ulab,10,10min,10,dev,pnmi,52.23
dev,HuBERT MMS-ulab,10,10min,10,dev,r_val,15.82
dev,HuBERT MMS-ulab,11,10min,10,dev,f1,57.71
dev,HuBERT MMS-ulab,11,10min,10,dev,per,122.17
dev,HuBERT MMS-ulab,11,10min,10,dev,pnmi,52.9
dev,HuBERT MMS-ulab,11,10min,10,dev,r_val,8.74
dev,HuBERT MMS-ulab,12,10min,10,dev,f1,55.88
dev,HuBERT MMS-ulab,12,10min,10,dev,per,135.56
dev,HuBERT MMS-ulab,12,10min,10,dev,pnmi,46.29
dev,HuBERT MMS-ulab,12,10min,10,dev,r_val,-0.15
dev,HuBERT MMS-ulab,1,1h,60,dev,f1,54.31
dev,HuBERT MMS-ulab,1,1h,60,dev,per,151.03
dev,HuBERT MMS-ulab,1,1h,60,dev,pnmi,43.12
dev,HuBERT MMS-ulab,1,1h,60,dev,r_val,-2.52
dev,HuBERT MMS-ulab,2,1h,60,dev,f1,54.76
dev,HuBERT MMS-ulab,2,1h,60,dev,per,154.26
dev,HuBERT MMS-ulab,2,1h,60,dev,pnmi,44.18
dev,HuBERT MMS-ulab,2,1h,60,dev,r_val,-6.82
dev,HuBERT MMS-ulab,3,1h,60,dev,f1,56.57
dev,HuBERT MMS-ulab,3,1h,60,dev,per,139.43
dev,HuBERT MMS-ulab,3,1h,60,dev,pnmi,47.64
dev,HuBERT MMS-ulab,3,1h,60,dev,r_val,2.74
dev,HuBERT MMS-ulab,4,1h,60,dev,f1,57.31
dev,HuBERT MMS-ulab,4,1h,60,dev,per,132.05
dev,HuBERT MMS-ulab,4,1h,60,dev,pnmi,48.56
dev,HuBERT MMS-ulab,4,1h,60,dev,r_val,7.31
dev,HuBERT MMS-ulab,5,1h,60,dev,f1,58.13
dev,HuBERT MMS-ulab,5,1h,60,dev,per,123.06
dev,HuBERT MMS-ulab,5,1h,60,dev,pnmi,49.65
dev,HuBERT MMS-ulab,5,1h,60,dev,r_val,13.44
dev,HuBERT MMS-ulab,6,1h,60,dev,f1,60.33
dev,HuBERT MMS-ulab,6,1h,60,dev,per,106.94
dev,HuBERT MMS-ulab,6,1h,60,dev,pnmi,53.18
dev,HuBERT MMS-ulab,6,1h,60,dev,r_val,24.76
dev,HuBERT MMS-ulab,7,1h,60,dev,f1,60.73
dev,HuBERT MMS-ulab,7,1h,60,dev,per,96.65
dev,HuBERT MMS-ulab,7,1h,60,dev,pnmi,53.78
dev,HuBERT MMS-ulab,7,1h,60,dev,r_val,31.14
dev,HuBERT MMS-ulab,8,1h,60,dev,f1,58.98
dev,HuBERT MMS-ulab,8,1h,60,dev,per,90.58
dev,HuBERT MMS-ulab,8,1h,60,dev,pnmi,52.53
dev,HuBERT MMS-ulab,8,1h,60,dev,r_val,35.45
dev,HuBERT MMS-ulab,9,1h,60,dev,f1,57.99
dev,HuBERT MMS-ulab,9,1h,60,dev,per,102.8
dev,HuBERT MMS-ulab,9,1h,60,dev,pnmi,51.96
dev,HuBERT MMS-ulab,9,1h,60,dev,r_val,25.42
dev,HuBERT MMS-ulab,10,1h,60,dev,f1,58.98
dev,HuBERT MMS-ulab,10,1h,60,dev,per,107.2
dev,HuBERT MMS-ulab,10,1h,60,dev,pnmi,53.7
dev,HuBERT MMS-ulab,10,1h,60,dev,r_val,21.12
dev,HuBERT MMS-ulab,11,1h,60,dev,f1,58.73
dev,HuBERT MMS-ulab,11,1h,60,dev,per,115.49
dev,HuBERT MMS-ulab,11,1h,60,dev,pnmi,53.91
dev,HuBERT MMS-ulab,11,1h,60,dev,r_val,13.57
dev,HuBERT MMS-ulab,12,1h,60,dev,f1,57.05
dev,HuBERT MMS-ulab,12,1h,60,dev,per,124.18
dev,HuBERT MMS-ulab,12,1h,60,dev,pnmi,48.82
dev,HuBERT MMS-ulab,12,1h,60,dev,r_val,8.98
dev,HuBERT MMS-ulab,1,0,1,test,f1,53.49
dev,HuBERT MMS-ulab,1,0,1,test,per,172.42
dev,HuBERT MMS-ulab,1,0,1,test,pnmi,40.65
dev,HuBERT MMS-ulab,1,0,1,test,r_val,-19.74
dev,HuBERT MMS-ulab,1,0,1,dev,f1,53.67
dev,HuBERT MMS-ulab,1,0,1,dev,per,158.2
dev,HuBERT MMS-ulab,1,0,1,dev,pnmi,41.06
dev,HuBERT MMS-ulab,1,0,1,dev,r_val,-6.47
dev,HuBERT MMS-ulab,2,0,1,test,f1,52.59
dev,HuBERT MMS-ulab,2,0,1,test,per,180.66
dev,HuBERT MMS-ulab,2,0,1,test,pnmi,39.83
dev,HuBERT MMS-ulab,2,0,1,test,r_val,-27.86
dev,HuBERT MMS-ulab,2,0,1,dev,f1,51.69
dev,HuBERT MMS-ulab,2,0,1,dev,per,170.86
dev,HuBERT MMS-ulab,2,0,1,dev,pnmi,39.31
dev,HuBERT MMS-ulab,2,0,1,dev,r_val,-19.98
dev,HuBERT MMS-ulab,3,0,1,test,f1,55.01
dev,HuBERT MMS-ulab,3,0,1,test,per,161.48
dev,HuBERT MMS-ulab,3,0,1,test,pnmi,43.01
dev,HuBERT MMS-ulab,3,0,1,test,r_val,-13.34
dev,HuBERT MMS-ulab,3,0,1,dev,f1,54.57
dev,HuBERT MMS-ulab,3,0,1,dev,per,154.49
dev,HuBERT MMS-ulab,3,0,1,dev,pnmi,43.05
dev,HuBERT MMS-ulab,3,0,1,dev,r_val,-8.1
dev,HuBERT MMS-ulab,4,0,1,test,f1,54.0
dev,HuBERT MMS-ulab,4,0,1,test,per,157.06
dev,HuBERT MMS-ulab,4,0,1,test,pnmi,42.86
dev,HuBERT MMS-ulab,4,0,1,test,r_val,-11.84
dev,HuBERT MMS-ulab,4,0,1,dev,f1,54.58
dev,HuBERT MMS-ulab,4,0,1,dev,per,143.62
dev,HuBERT MMS-ulab,4,0,1,dev,pnmi,42.69
dev,HuBERT MMS-ulab,4,0,1,dev,r_val,1.02
dev,HuBERT MMS-ulab,5,0,1,test,f1,55.34
dev,HuBERT MMS-ulab,5,0,1,test,per,153.86
dev,HuBERT MMS-ulab,5,0,1,test,pnmi,43.43
dev,HuBERT MMS-ulab,5,0,1,test,r_val,-9.81
dev,HuBERT MMS-ulab,5,0,1,dev,f1,55.16
dev,HuBERT MMS-ulab,5,0,1,dev,per,147.13
dev,HuBERT MMS-ulab,5,0,1,dev,pnmi,43.19
dev,HuBERT MMS-ulab,5,0,1,dev,r_val,-3.15
dev,HuBERT MMS-ulab,6,0,1,test,f1,56.93
dev,HuBERT MMS-ulab,6,0,1,test,per,144.35
dev,HuBERT MMS-ulab,6,0,1,test,pnmi,47.26
dev,HuBERT MMS-ulab,6,0,1,test,r_val,-3.37
dev,HuBERT MMS-ulab,6,0,1,dev,f1,56.87
dev,HuBERT MMS-ulab,6,0,1,dev,per,134.03
dev,HuBERT MMS-ulab,6,0,1,dev,pnmi,47.28
dev,HuBERT MMS-ulab,6,0,1,dev,r_val,5.7
dev,HuBERT MMS-ulab,7,0,1,test,f1,55.21
dev,HuBERT MMS-ulab,7,0,1,test,per,152.2
dev,HuBERT MMS-ulab,7,0,1,test,pnmi,43.67
dev,HuBERT MMS-ulab,7,0,1,test,r_val,-8.37
dev,HuBERT MMS-ulab,7,0,1,dev,f1,55.02
dev,HuBERT MMS-ulab,7,0,1,dev,per,146.94
dev,HuBERT MMS-ulab,7,0,1,dev,pnmi,43.13
dev,HuBERT MMS-ulab,7,0,1,dev,r_val,-3.26
dev,HuBERT MMS-ulab,8,0,1,test,f1,55.23
dev,HuBERT MMS-ulab,8,0,1,test,per,148.42
dev,HuBERT MMS-ulab,8,0,1,test,pnmi,41.99
dev,HuBERT MMS-ulab,8,0,1,test,r_val,-3.53
dev,HuBERT MMS-ulab,8,0,1,dev,f1,55.34
dev,HuBERT MMS-ulab,8,0,1,dev,per,135.33
dev,HuBERT MMS-ulab,8,0,1,dev,pnmi,42.48
dev,HuBERT MMS-ulab,8,0,1,dev,r_val,6.62
dev,HuBERT MMS-ulab,9,0,1,test,f1,53.82
dev,HuBERT MMS-ulab,9,0,1,test,per,155.32
dev,HuBERT MMS-ulab,9,0,1,test,pnmi,39.22
dev,HuBERT MMS-ulab,9,0,1,test,r_val,-7.93
dev,HuBERT MMS-ulab,9,0,1,dev,f1,53.63
dev,HuBERT MMS-ulab,9,0,1,dev,per,143.58
dev,HuBERT MMS-ulab,9,0,1,dev,pnmi,39.14
dev,HuBERT MMS-ulab,9,0,1,dev,r_val,1.41
dev,HuBERT MMS-ulab,10,0,1,test,f1,55.78
dev,HuBERT MMS-ulab,10,0,1,test,per,142.77
dev,HuBERT MMS-ulab,10,0,1,test,pnmi,46.12
dev,HuBERT MMS-ulab,10,0,1,test,r_val,-3.83
dev,HuBERT MMS-ulab,10,0,1,dev,f1,55.46
dev,HuBERT MMS-ulab,10,0,1,dev,per,132.49
dev,HuBERT MMS-ulab,10,0,1,dev,pnmi,44.9
dev,HuBERT MMS-ulab,10,0,1,dev,r_val,5.7
dev,HuBERT MMS-ulab,11,0,1,test,f1,55.43
dev,HuBERT MMS-ulab,11,0,1,test,per,144.37
dev,HuBERT MMS-ulab,11,0,1,test,pnmi,43.67
dev,HuBERT MMS-ulab,11,0,1,test,r_val,-5.09
dev,HuBERT MMS-ulab,11,0,1,dev,f1,54.96
dev,HuBERT MMS-ulab,11,0,1,dev,per,133.87
dev,HuBERT MMS-ulab,11,0,1,dev,pnmi,42.62
dev,HuBERT MMS-ulab,11,0,1,dev,r_val,5.1
dev,HuBERT MMS-ulab,12,0,1,test,f1,58.77
dev,HuBERT MMS-ulab,12,0,1,test,per,124.13
dev,HuBERT MMS-ulab,12,0,1,test,pnmi,50.5
dev,HuBERT MMS-ulab,12,0,1,test,r_val,9.84
dev,HuBERT MMS-ulab,12,0,1,dev,f1,57.97
dev,HuBERT MMS-ulab,12,0,1,dev,per,118.16
dev,HuBERT MMS-ulab,12,0,1,dev,pnmi,49.65
dev,HuBERT MMS-ulab,12,0,1,dev,r_val,15.11
dev,HuBERT VP-20,1,10h,600,test,f1,54.64
dev,HuBERT VP-20,1,10h,600,test,per,168.52
dev,HuBERT VP-20,1,10h,600,test,pnmi,42.71
dev,HuBERT VP-20,1,10h,600,test,r_val,-18.02
dev,HuBERT VP-20,2,10h,600,test,f1,55.27
dev,HuBERT VP-20,2,10h,600,test,per,158.03
dev,HuBERT VP-20,2,10h,600,test,pnmi,44.92
dev,HuBERT VP-20,2,10h,600,test,r_val,-12.52
dev,HuBERT VP-20,3,10h,600,test,f1,55.59
dev,HuBERT VP-20,3,10h,600,test,per,142.07
dev,HuBERT VP-20,3,10h,600,test,pnmi,41.61
dev,HuBERT VP-20,3,10h,600,test,r_val,2.73
dev,HuBERT VP-20,4,10h,600,test,f1,57.51
dev,HuBERT VP-20,4,10h,600,test,per,136.56
dev,HuBERT VP-20,4,10h,600,test,pnmi,46.91
dev,HuBERT VP-20,4,10h,600,test,r_val,3.12
dev,HuBERT VP-20,5,10h,600,test,f1,59.03
dev,HuBERT VP-20,5,10h,600,test,per,122.19
dev,HuBERT VP-20,5,10h,600,test,pnmi,51.64
dev,HuBERT VP-20,5,10h,600,test,r_val,10.61
dev,HuBERT VP-20,6,10h,600,test,f1,60.4
dev,HuBERT VP-20,6,10h,600,test,per,106.25
dev,HuBERT VP-20,6,10h,600,test,pnmi,54.93
dev,HuBERT VP-20,6,10h,600,test,r_val,19.74
dev,HuBERT VP-20,7,10h,600,test,f1,64.36
dev,HuBERT VP-20,7,10h,600,test,per,76.81
dev,HuBERT VP-20,7,10h,600,test,pnmi,61.22
dev,HuBERT VP-20,7,10h,600,test,r_val,40.64
dev,HuBERT VP-20,8,10h,600,test,f1,63.22
dev,HuBERT VP-20,8,10h,600,test,per,67.82
dev,HuBERT VP-20,8,10h,600,test,pnmi,61.54
dev,HuBERT VP-20,8,10h,600,test,r_val,46.87
dev,HuBERT VP-20,9,10h,600,test,f1,59.66
dev,HuBERT VP-20,9,10h,600,test,per,77.78
dev,HuBERT VP-20,9,10h,600,test,pnmi,57.31
dev,HuBERT VP-20,9,10h,600,test,r_val,40.29
dev,HuBERT VP-20,10,10h,600,test,f1,61.5
dev,HuBERT VP-20,10,10h,600,test,per,95.36
dev,HuBERT VP-20,10,10h,600,test,pnmi,58.3
dev,HuBERT VP-20,10,10h,600,test,r_val,26.47
dev,HuBERT VP-20,11,10h,600,test,f1,62.18
dev,HuBERT VP-20,11,10h,600,test,per,95.89
dev,HuBERT VP-20,11,10h,600,test,pnmi,57.18
dev,HuBERT VP-20,11,10h,600,test,r_val,27.3
