split,model,layer,duration,duration_val,test_split,metric,score
test,SpidR MMS-ulab,6,10min,10,dev,pnmi,55.36
test,SpidR MMS-ulab,6,10min,10,dev,r_val,46.55
test,SpidR MMS-ulab,5,1h,60,dev,f1,67.41
test,SpidR MMS-ulab,5,1h,60,dev,per,67.24
test,SpidR MMS-ulab,5,1h,60,dev,pnmi,60.83
test,SpidR MMS-ulab,5,1h,60,dev,r_val,53.96
test,SpidR MMS-ulab,5,0,1,test,f1,65.65
test,SpidR MMS-ulab,5,0,1,test,per,84.81
test,SpidR MMS-ulab,5,0,1,test,pnmi,58.58
test,SpidR MMS-ulab,5,0,1,test,r_val,40.99
test,SpidR MMS-ulab,5,0,1,dev,f1,64.77
test,SpidR MMS-ulab,5,0,1,dev,per,80.5
test,SpidR MMS-ulab,5,0,1,dev,pnmi,56.23
test,SpidR MMS-ulab,5,0,1,dev,r_val,45.93
test,SpidR VP-20,6,10h,600,test,f1,64.35
test,SpidR VP-20,6,10h,600,test,per,61.67
test,SpidR VP-20,6,10h,600,test,pnmi,64.38
test,SpidR VP-20,6,10h,600,test,r_val,53.27
test,SpidR VP-20,7,10min,10,test,f1,67.09
test,SpidR VP-20,7,10min,10,test,per,62.72
test,SpidR VP-20,7,10min,10,test,pnmi,64.1
test,SpidR VP-20,7,10min,10,test,r_val,53.74
test,SpidR VP-20,7,1h,60,test,f1,66.82
test,SpidR VP-20,7,1h,60,test,per,62.77
test,SpidR VP-20,7,1h,60,test,pnmi,65.39
test,SpidR VP-20,7,1h,60,test,r_val,52.44
test,SpidR VP-20,6,10h,600,dev,f1,63.79
test,SpidR VP-20,6,10h,600,dev,per,63.06
test,SpidR VP-20,6,10h,600,dev,pnmi,61.2
test,SpidR VP-20,6,10h,600,dev,r_val,55.32
test,SpidR VP-20,7,10min,10,dev,f1,65.27
test,SpidR VP-20,7,10min,10,dev,per,64.94
test,SpidR VP-20,7,10min,10,dev,pnmi,60.06
test,SpidR VP-20,7,10min,10,dev,r_val,55.06
test,SpidR VP-20,7,1h,60,dev,f1,65.56
test,SpidR VP-20,7,1h,60,dev,per,64.6
test,SpidR VP-20,7,1h,60,dev,pnmi,61.56
test,SpidR VP-20,7,1h,60,dev,r_val,54.5
test,SpidR VP-20,6,0,1,test,f1,63.05
test,SpidR VP-20,6,0,1,test,per,64.48
test,SpidR VP-20,6,0,1,test,pnmi,58.12
test,SpidR VP-20,6,0,1,test,r_val,56.04
test,SpidR VP-20,6,0,1,dev,f1,61.83
test,SpidR VP-20,6,0,1,dev,per,64.41
test,SpidR VP-20,6,0,1,dev,pnmi,54.51
test,SpidR VP-20,6,0,1,dev,r_val,58.75
dev,HuBERT MMS-ulab,12,10h,600,test,triphone_abx_discrete,13.44
dev,HuBERT MMS-ulab,11,10min,10,test,triphone_abx_discrete,13.82
dev,HuBERT MMS-ulab,11,1h,60,test,triphone_abx_discrete,13.25
dev,HuBERT MMS-ulab,12,10h,600,dev,triphone_abx_discrete,14.96
dev,HuBERT MMS-ulab,11,10min,10,dev,triphone_abx_discrete,15.88
dev,HuBERT MMS-ulab,11,1h,60,dev,triphone_abx_discrete,14.84
dev,HuBERT MMS-ulab,12,0,1,test,triphone_abx_discrete,14.76
dev,HuBERT MMS-ulab,12,0,1,dev,triphone_abx_discrete,15.85
dev,HuBERT VP-20,11,10h,600,test,triphone_abx_discrete,11.33
dev,HuBERT VP-20,11,10min,10,test,triphone_abx_discrete,14.53
dev,HuBERT VP-20,11,1h,60,test,triphone_abx_discrete,13.01
dev,HuBERT VP-20,11,10h,600,dev,triphone_abx_discrete,12.57
dev,HuBERT VP-20,11,10min,10,dev,triphone_abx_discrete,15.75
dev,HuBERT VP-20,11,1h,60,dev,triphone_abx_discrete,14.9
dev,HuBERT VP-20,11,0,1,test,triphone_abx_discrete,16.68
dev,HuBERT VP-20,11,0,1,dev,triphone_abx_discrete,18.34
dev,SpidR MMS-ulab,5,10h,600,test,triphone_abx_discrete,10.16
dev,SpidR MMS-ulab,6,10min,10,test,triphone_abx_discrete,14.62
dev,SpidR MMS-ulab,5,1h,60,test,triphone_abx_discrete,10.55
dev,SpidR MMS-ulab,5,10h,600,dev,triphone_abx_discrete,11.32
dev,SpidR MMS-ulab,6,10min,10,dev,triphone_abx_discrete,16.03
dev,SpidR MMS-ulab,5,1h,60,dev,triphone_abx_discrete,12.2
dev,SpidR MMS-ulab,5,0,1,test,triphone_abx_discrete,13.53
dev,SpidR MMS-ulab,5,0,1,dev,triphone_abx_discrete,13.95
dev,SpidR VP-20,6,10h,600,test,triphone_abx_discrete,9.63
dev,SpidR VP-20,7,10min,10,test,triphone_abx_discrete,11.16
dev,SpidR VP-20,7,1h,60,test,triphone_abx_discrete,10.04
dev,SpidR VP-20,6,10h,600,dev,triphone_abx_discrete,10.57
dev,SpidR VP-20,7,10min,10,dev,triphone_abx_discrete,13.08
dev,SpidR VP-20,7,1h,60,dev,triphone_abx_discrete,11.52
dev,SpidR VP-20,6,0,1,test,triphone_abx_discrete,14.22
dev,SpidR VP-20,6,0,1,dev,triphone_abx_discrete,15.7
test,HuBERT MMS-ulab,12,10h,600,test,triphone_abx_discrete,12.97
test,HuBERT MMS-ulab,11,10min,10,test,triphone_abx_discrete,13.4
test,HuBERT MMS-ulab,11,1h,60,test,triphone_abx_discrete,12.81
test,HuBERT MMS-ulab,12,10h,600,dev,triphone_abx_discrete,15.7
test,HuBERT MMS-ulab,11,10min,10,dev,triphone_abx_discrete,16.49
test,HuBERT MMS-ulab,11,1h,60,dev,triphone_abx_discrete,16.07
test,HuBERT MMS-ulab,12,0,1,test,triphone_abx_discrete,14.2
test,HuBERT MMS-ulab,12,0,1,dev,triphone_abx_discrete,16.81
test,HuBERT VP-20,11,10h,600,test,triphone_abx_discrete,10.8
test,HuBERT VP-20,11,10min,10,test,triphone_abx_discrete,14.14
test,HuBERT VP-20,11,1h,60,test,triphone_abx_discrete,12.6
test,HuBERT VP-20,11,10h,600,dev,triphone_abx_discrete,13.37
test,HuBERT VP-20,11,10min,10,dev,triphone_abx_discrete,16.7
test,HuBERT VP-20,11,1h,60,dev,triphone_abx_discrete,16.12
test,HuBERT VP-20,11,0,1,test,triphone_abx_discrete,16.14
test,HuBERT VP-20,11,0,1,dev,triphone_abx_discrete,19.06
test,SpidR MMS-ulab,5,10h,600,test,triphone_abx_discrete,9.72
test,SpidR MMS-ulab,6,10min,10,test,triphone_abx_discrete,14.15
test,SpidR MMS-ulab,5,1h,60,test,triphone_abx_discrete,10.22
test,SpidR MMS-ulab,5,10h,600,dev,triphone_abx_discrete,12.03
test,SpidR MMS-ulab,6,10min,10,dev,triphone_abx_discrete,17.03
test,SpidR MMS-ulab,5,1h,60,dev,triphone_abx_discrete,12.89
test,SpidR MMS-ulab,5,0,1,test,triphone_abx_discrete,13.03
test,SpidR MMS-ulab,5,0,1,dev,triphone_abx_discrete,15.01
test,SpidR VP-20,6,10h,600,test,triphone_abx_discrete,9.09
